created_at,entry_id,field1,field2,field3
2023-10-14 04:36:00 UTC,803,0.00917,-45,
2023-10-14 04:36:38 UTC,804,0.03280,-50,
2023-10-14 04:36:57 UTC,805,0.03200,-50,
2023-10-14 04:37:15 UTC,806,0.02972,-44,
2023-10-14 04:37:33 UTC,807,0.02500,-50,
2023-10-14 04:37:51 UTC,808,0.01753,-44,
2023-10-14 04:38:10 UTC,809,0.03082,-46,
2023-10-14 04:38:28 UTC,810,0.03464,-52,
2023-10-14 04:38:46 UTC,811,0.03689,-50,
2023-10-15 05:11:58 UTC,812,0.00000,-22,
2023-10-15 05:12:17 UTC,813,0.00444,-21,
2023-10-16 02:43:40 UTC,814,0.05000,-56,
2023-10-16 02:44:00 UTC,815,0.05190,-36,
2023-10-16 02:44:19 UTC,816,0.05253,-37,
2023-10-16 02:44:38 UTC,817,0.05294,-40,
2023-10-16 02:44:57 UTC,818,0.05612,-51,
2023-10-16 02:45:16 UTC,819,0.05360,-44,
2023-10-16 02:45:35 UTC,820,1.21421,-47,
2023-10-16 02:45:54 UTC,821,1.19137,-54,
2023-10-16 02:46:13 UTC,822,1.18016,-42,
2023-10-16 02:46:54 UTC,823,1.16635,-45,
2023-10-16 02:47:13 UTC,824,1.16248,-32,
2023-10-16 02:47:32 UTC,825,1.15974,-34,
2023-10-16 02:47:50 UTC,826,1.15390,-35,
2023-10-16 02:48:09 UTC,827,1.15671,-40,
2023-10-16 02:48:28 UTC,828,1.14914,-48,
2023-10-16 02:48:48 UTC,829,0.05263,-32,
2023-10-16 02:49:06 UTC,830,0.05191,-24,
2023-10-16 02:49:25 UTC,831,0.05225,-28,
2023-10-16 02:49:44 UTC,832,1.01841,-42,
2023-10-16 02:50:03 UTC,833,0.05291,-37,
2023-10-16 02:50:22 UTC,834,0.05263,-36,
2023-10-16 02:51:02 UTC,835,0.07084,-33,
2023-10-16 02:51:21 UTC,836,0.92944,-37,
2023-10-16 02:51:40 UTC,837,0.93364,-24,
2023-10-16 02:51:58 UTC,838,0.92469,-18,
2023-10-16 02:52:18 UTC,839,0.15500,-18,
2023-10-16 02:52:37 UTC,840,0.07153,-19,
2023-10-16 02:52:55 UTC,841,0.86849,-17,
2023-10-16 02:53:14 UTC,842,0.03806,-18,
2023-10-16 02:53:34 UTC,843,0.03722,-19,
2023-10-16 02:53:53 UTC,844,0.03847,-20,
2023-10-16 02:54:34 UTC,845,0.03836,-18,
2023-10-16 02:54:54 UTC,846,0.03826,-19,
2023-10-16 02:55:13 UTC,847,0.03818,-18,
2023-10-16 02:55:33 UTC,848,0.03923,-26,
2023-10-16 02:55:53 UTC,849,0.03918,-26,
2023-10-16 02:56:12 UTC,850,0.03944,-33,
2023-10-16 02:56:31 UTC,851,0.03967,-31,
2023-10-16 02:56:51 UTC,852,0.04031,-26,
2023-10-16 02:57:10 UTC,853,0.04005,-25,
2023-10-16 02:57:41 UTC,854,0.04026,-29,
2023-10-16 02:58:01 UTC,855,0.04034,-33,
2023-10-16 02:58:20 UTC,856,0.04139,-31,
2023-10-16 02:58:39 UTC,857,0.04149,-31,
2023-10-16 02:58:58 UTC,858,0.04131,-35,
2023-10-16 02:59:17 UTC,859,0.04113,-31,
2023-10-16 02:59:36 UTC,860,0.04091,-35,
2023-10-16 02:59:55 UTC,861,0.04122,-29,
2023-10-16 03:00:14 UTC,862,0.04086,-32,
2023-10-16 03:00:33 UTC,863,0.04091,-36,
2023-10-16 03:01:14 UTC,864,0.04039,-33,
2023-10-16 03:02:31 UTC,865,0.02657,-18,
2023-10-16 03:02:50 UTC,866,0.06684,-15,
2023-10-16 03:03:36 UTC,867,0.06707,-34,
2023-10-16 03:04:01 UTC,868,0.91574,-22,
2023-10-16 03:04:21 UTC,869,0.06690,-23,
2023-10-16 03:04:41 UTC,870,0.06687,-24,
2023-10-16 03:05:00 UTC,871,0.06657,-25,
2023-10-16 03:05:19 UTC,872,0.06649,-22,
2023-10-16 03:05:39 UTC,873,0.06658,-16,
2023-10-16 03:05:58 UTC,874,0.06652,-18,
2023-10-16 03:06:16 UTC,875,0.06654,-18,
2023-10-16 03:06:35 UTC,876,0.06648,-16,
2023-10-16 03:06:55 UTC,877,0.06676,-18,
2023-10-16 03:07:14 UTC,878,0.06677,-18,
2023-10-16 03:07:33 UTC,879,0.06663,-18,
2023-10-16 03:07:53 UTC,880,0.06682,-19,
2023-10-16 04:17:09 UTC,881,0.00000,-44,
2023-10-16 04:17:28 UTC,882,0.00000,-41,
2023-10-16 04:17:49 UTC,883,0.64541,-48,
2023-10-16 04:18:07 UTC,884,0.64708,-40,
2023-10-16 04:18:25 UTC,885,0.64210,-49,
2023-10-16 04:18:45 UTC,886,0.00000,-56,
2023-10-16 04:19:04 UTC,887,0.00000,-51,
2023-10-16 04:19:43 UTC,888,0.66132,-53,
2023-10-16 04:20:01 UTC,889,0.66321,-52,
2023-10-16 04:20:22 UTC,890,0.00000,-51,
2023-10-16 04:20:40 UTC,891,0.52049,-49,
2023-10-16 04:20:58 UTC,892,0.52289,-54,
2023-10-16 04:21:16 UTC,893,0.52238,-50,
2023-10-16 04:21:35 UTC,894,0.00000,-57,
2023-10-16 04:21:55 UTC,895,0.00000,-47,
2023-10-16 04:22:14 UTC,896,0.00000,-48,
2023-10-16 04:22:33 UTC,897,0.00000,-46,
2023-10-16 04:22:53 UTC,898,0.00000,-48,
2023-10-16 04:23:12 UTC,899,0.00000,-52,
2023-10-16 04:23:52 UTC,900,0.00000,-44,
2023-10-16 04:24:12 UTC,901,0.00000,-51,
2023-10-16 04:24:31 UTC,902,0.00000,-46,
