Time,Weight(kg),Actual weight(kg),,8/10/2023,,Time,,wifi_signal
02:45:35 UTC,1.21421,1.093,,,,02:45:35 UTC,,-47
02:45:54 UTC,1.19137,1.042,,,,02:45:54 UTC,,-54
02:46:13 UTC,1.18016,1.031,,,,02:46:13 UTC,,-42
02:46:54 UTC,1.16635,1.017,,,,02:46:54 UTC,,-45
02:47:13 UTC,1.16248,1.011,,,,02:47:13 UTC,,-32
02:47:32 UTC,1.15974,1.008,,,,02:47:32 UTC,,-34
02:47:50 UTC,1.1539,1.001,,,,02:47:50 UTC,,-35
02:48:09 UTC,1.15671,0.998,,,,02:48:09 UTC,,-40
02:48:28 UTC,1.14914,0.989,,,,02:48:28 UTC,,-48
02:48:48 UTC,0.05263,0,,,,02:48:48 UTC,,-32
02:49:06 UTC,0.05191,0,,,,02:49:06 UTC,,-24
02:49:25 UTC,0.05225,0,,,,02:49:25 UTC,,-28
